property_id,address
SR-WUI-001,1245 Mark West Springs Rd Santa Rosa CA
SR-WUI-002,4855 Mark West Springs Rd Santa Rosa CA
SR-WUI-003,5285 Mark West Station Rd Windsor CA
SR-WUI-004,2500 Wikiup Dr Santa Rosa CA
SR-WUI-005,3120 Wikiup Dr Santa Rosa CA
SR-WUI-006,800 Fountaingrove Pkwy Santa Rosa CA
SR-WUI-007,2200 Stagecoach Rd Santa Rosa CA
SR-WUI-008,1800 Riebli Rd Santa Rosa CA
SR-WUI-009,850 Hopper Ave Santa Rosa CA
SR-WUI-010,1145 San Miguel Rd Santa Rosa CA
SR-WUI-011,4250 Old Redwood Hwy Larkfield CA
SR-WUI-012,6585 Old Redwood Hwy Windsor CA
SR-WUI-013,2100 Calistoga Rd Santa Rosa CA
SR-WUI-014,920 Brooks Rd Windsor CA
SR-WUI-015,3275 Porter Creek Rd Santa Rosa CA
SR-MOD-016,555 Coddingtown Center Santa Rosa CA
SR-MOD-017,2300 Mendocino Ave Santa Rosa CA
SR-MOD-018,1800 Sonoma Ave Santa Rosa CA
SR-MOD-019,3100 Stony Point Rd Santa Rosa CA
SR-MOD-020,2540 Sebastopol Rd Santa Rosa CA
SR-MOD-021,4300 Montgomery Dr Santa Rosa CA
SR-MOD-022,1450 Yulupa Ave Santa Rosa CA
SR-MOD-023,2800 Yulupa Ave Santa Rosa CA
SR-MOD-024,1230 Bennett Valley Rd Santa Rosa CA
SR-MOD-025,100 Brookwood Ave Santa Rosa CA
SR-MOD-026,750 W College Ave Santa Rosa CA
SR-MOD-027,3650 Hardies Ln Santa Rosa CA
PE-MOD-028,1200 N McDowell Blvd Petaluma CA
PE-MOD-029,1530 S McDowell Blvd Petaluma CA
PE-MOD-030,875 Maria Dr Petaluma CA
PE-MOD-031,6100 Lakeville Hwy Petaluma CA
PE-MOD-032,425 Adobe Rd Petaluma CA
SO-MOD-033,1085 W Spain St Sonoma CA
SO-MOD-034,800 Broadway Sonoma CA
SO-MOD-035,19400 Sonoma Hwy Sonoma CA
PE-LOW-036,125 Kentucky St Petaluma CA
PE-LOW-037,230 Western Ave Petaluma CA
PE-LOW-038,50 4th St Petaluma CA
PE-LOW-039,100 Petaluma Blvd N Petaluma CA
SR-LOW-040,25 4th St Santa Rosa CA
SR-LOW-041,75 Stony Point Rd Santa Rosa CA
SR-LOW-042,400 Mendocino Ave Santa Rosa CA
SR-LOW-043,525 5th St Santa Rosa CA
SO-LOW-044,220 1st St E Sonoma CA
SO-LOW-045,100 W Napa St Sonoma CA
HE-LOW-046,150 Healdsburg Ave Healdsburg CA
HE-LOW-047,320 Center St Healdsburg CA
HE-LOW-048,100 Plaza St Healdsburg CA
CL-LOW-049,200 N Cloverdale Blvd Cloverdale CA
CO-LOW-050,110 Main St Cotati CA
